[18:37:21],[18:37:35],4096,36000,36000,7128473,0.003277,2574610.131104,nd12k.mtx,14220946,973.3,1.39104277432,12
[18:39:18],[18:39:30],32768,115625,115625,3897557,0.000357,266.807648,barrier2-10.mtx,3897557,0,0,0
[18:41:24],[18:41:36],32768,115625,115625,3897557,0.000359,271.900696,barrier2-11.mtx,3897557,954.16,1.36908728721,10
[18:43:30],[18:43:42],32768,115625,115625,3897557,0.000358,269.867981,barrier2-12.mtx,3897557,958.74,1.43540934928,10
[18:45:35],[18:45:46],32768,113076,113076,3805068,0.000339,242.116791,barrier2-1.mtx,3805068,958.177777778,1.33481399268,9
[18:47:40],[18:47:51],32768,113076,113076,3805068,0.000339,249.019684,barrier2-2.mtx,3805068,956.755555556,1.21939065941,9
[18:49:39],[18:49:54],2048,72000,72000,14393817,0.007345,5439452.777832,nd24k.mtx,28715634,972.161538462,1.23259479994,13
[18:51:36],[18:51:47],32768,113076,113076,3805068,0.000339,240.768188,barrier2-3.mtx,3805068,959.822222222,0.989700041851,9
[18:53:33],[18:53:44],65536,9000,9000,1644345,0.000179,257.035019,nd3k.mtx,3279690,957.422222222,1.27869532274,9
[18:55:27],[18:55:38],32768,113076,113076,3805068,0.000339,244.104462,barrier2-4.mtx,3805068,961.888888889,3.0791212471,9
[18:57:26],[18:57:41],32768,18000,18000,3457658,0.000472,45590.395691,nd6k.mtx,6897316,972.538461538,1.30828041074,13
[18:59:24],[18:59:36],32768,115625,115625,3897557,0.000359,273.057281,barrier2-9.mtx,3897557,946.1,35.580697014,10
[19:01:34],[19:01:44],131072,112211,112211,760631,0.000078,381.190361,Baumann.mtx,760631,981.5,13.0971370917,8
[19:03:49],[19:04:05],131072,38744,38744,1771722,0.000117,329.809601,bbmat.mtx,1771722,978.328571429,1.33706959506,14
[19:06:30],[19:06:42],262144,13992,13992,316740,0.000044,482.277817,bcsstk29.mtx,606958,942.05,1.33135269557,10
[19:08:35],[19:08:47],262144,9506,9506,367280,0.000046,427.395439,nemeth01.mtx,725054,963.31,0.96067684473,10
[19:10:39],[19:10:54],131072,28924,28924,1036208,0.000115,343.063744,bcsstk30.mtx,2017706,956.676923077,1.20009861528,13
[19:13:00],[19:13:19],524288,9506,9506,274654,0.000037,447.764286,nemeth15.mtx,539802,953.158823529,1.69707666419,17
[19:15:06],[19:15:17],131072,35588,35588,608502,0.000083,397.487984,bcsstk31.mtx,1157900,0,0,0
[19:17:08],[19:17:18],262144,9506,9506,298259,0.000038,428.190403,nemeth16.mtx,587012,957.4125,0.82981549154,8
[19:19:13],[19:19:30],131072,44609,44609,1029655,0.000133,386.130234,bcsstk32.mtx,1976076,958.513333333,1.95204735826,15
[19:21:22],[19:21:32],262144,9506,9506,319563,0.000040,421.708523,nemeth17.mtx,629620,956.775,0.718940192227,8
[19:23:24],[19:23:34],262144,8738,8738,300321,0.000039,469.464077,bcsstk33.mtx,583794,937.1375,1.15967398436,8
