[19:38:27],[19:38:47],262144,87500,87500,312481,0.000076,304.807484,ncvxqp7.mtx,574962,
[19:40:37],[19:40:50],4096,36000,36000,7128473,0.003308,2575954.763672,nd12k.mtx,14220946,
[19:42:34],[19:42:45],32768,115625,115625,3897557,0.000350,287.491974,barrier2-10.mtx,3897557,
[19:44:40],[19:44:51],32768,115625,115625,3897557,0.000349,292.541443,barrier2-11.mtx,3897557,
[19:46:46],[19:46:57],32768,115625,115625,3897557,0.000349,288.571686,barrier2-12.mtx,3897557,
[19:48:50],[19:49:01],32768,113076,113076,3805068,0.000333,269.781616,barrier2-1.mtx,3805068,
[19:50:55],[19:51:05],32768,113076,113076,3805068,0.000331,266.751556,barrier2-2.mtx,3805068,
[19:52:55],[19:53:10],2048,72000,72000,14393817,0.007497,5440546.860840,nd24k.mtx,28715634,
[19:54:53],[19:55:04],32768,113076,113076,3805068,0.000331,275.123932,barrier2-3.mtx,3805068,
[19:56:50],[19:57:02],65536,9000,9000,1644345,0.000185,334.519211,nd3k.mtx,3279690,
[19:58:44],[19:58:55],32768,113076,113076,3805068,0.000330,275.873932,barrier2-4.mtx,3805068,
[20:00:42],[20:00:56],32768,18000,18000,3457658,0.000436,29798.314178,nd6k.mtx,6897316,
[20:02:39],[20:02:51],32768,115625,115625,3897557,0.000349,288.814789,barrier2-9.mtx,3897557,
[20:05:01],[20:05:19],262144,112211,112211,760631,0.000068,503.658459,Baumann.mtx,760631,
[20:07:25],[20:07:40],131072,38744,38744,1771722,0.000117,451.879974,bbmat.mtx,1771722,
[20:10:06],[20:10:18],262144,13992,13992,316740,0.000046,509.266975,bcsstk29.mtx,606958,
[20:12:11],[20:12:24],262144,9506,9506,367280,0.000047,555.042496,nemeth01.mtx,725054,
[20:14:16],[20:14:32],131072,28924,28924,1036208,0.000118,499.212479,bcsstk30.mtx,2017706,
[20:16:37],[20:16:56],524288,9506,9506,274654,0.000036,552.431444,nemeth15.mtx,539802,
[20:18:43],[20:18:54],131072,35588,35588,608502,0.000082,485.408409,bcsstk31.mtx,1157900,
[20:20:46],[20:20:57],262144,9506,9506,298259,0.000040,499.455441,nemeth16.mtx,587012,
[20:22:51],[20:23:09],131072,44609,44609,1029655,0.000134,369.019470,bcsstk32.mtx,1976076,
[20:25:01],[20:25:12],262144,9506,9506,319563,0.000042,544.312283,nemeth17.mtx,629620,
[20:27:03],[20:27:14],262144,8738,8738,300321,0.000040,579.002640,bcsstk33.mtx,583794,
[20:29:07],[20:29:19],262144,9506,9506,352370,0.000046,513.361393,nemeth18.mtx,695234,
[20:31:08],[20:31:19],131072,30237,30237,740200,0.000088,502.983566,bcsstk35.mtx,1450163,
[20:33:14],[20:33:28],262144,9506,9506,413904,0.000052,534.527050,nemeth19.mtx,818302,
[20:35:28],[20:35:46],262144,23052,23052,583096,0.000070,503.538410,bcsstk36.mtx,1143140,
[20:37:44],[20:37:59],262144,9506,9506,490688,0.000059,524.602486,nemeth20.mtx,971870,
[20:40:00],[20:40:19],262144,25503,25503,583240,0.000072,517.372780,bcsstk37.mtx,1140977,
[20:42:18],[20:42:36],262144,9506,9506,591626,0.000068,505.681580,nemeth21.mtx,1173746,
[20:44:28],[20:44:43],131072,46772,46772,1068033,0.000112,501.390076,bcsstk39.mtx,2089294,
[20:46:30],[20:46:40],131072,9506,9506,684169,0.000077,502.064781,nemeth22.mtx,1358832,
[20:48:39],[20:48:50],131072,9506,9506,758158,0.000082,514.488220,nemeth23.mtx,1506810,
[20:50:22],[20:50:32],16384,1441295,1441295,1549970,0.000615,313.893188,belgium_osm.mtx,2542027,
[20:52:20],[20:52:31],131072,9506,9506,758028,0.000083,490.702515,nemeth24.mtx,1506550,
[20:54:06],[20:54:17],4096,245874,245874,6698185,0.002844,2427231.848145,BenElechi1.mtx,13150496,
[20:56:06],[20:56:17],131072,9506,9506,760632,0.000083,494.135956,nemeth25.mtx,1511758,
[20:57:55],[20:58:07],32768,60012,60012,340022,0.000363,521.158936,blockqp1.mtx,640033,
[20:59:55],[21:00:06],131072,9506,9506,760633,0.000084,516.237793,nemeth26.mtx,1511760,
[21:01:37],[21:01:48],4096,227362,227362,5757996,0.002551,2015273.103271,bmw3_2.mtx,11288630,
[21:03:35],[21:03:51],65536,29920,29920,1031560,0.000240,370.988678,net100.mtx,2033200,
[21:05:38],[21:05:52],32768,141347,141347,3740507,0.000433,48325.605530,bmw7st_1.mtx,7339667,
[21:07:32],[21:07:44],32768,36720,36720,1306960,0.000370,309.996887,net125.mtx,2577200,
[21:09:29],[21:09:48],8192,148770,148770,5396386,0.002315,1833146.170898,bmwcra_1.mtx,10644002,
[21:11:32],[21:11:49],32768,43520,43520,1582360,0.000516,309.006226,net150.mtx,3121200,
[21:13:39],[21:13:51],32768,88343,88343,1265035,0.000367,416.256866,net4-1.mtx,2408949,
[21:16:01],[21:16:20],262144,16320,16320,480760,0.000071,450.787109,net50.mtx,945200,
[21:18:00],[21:18:12],2048,986703,986703,12437739,0.005978,4875698.359375,bone010_M.mtx,23888775,
[21:20:07],[21:20:26],131072,23120,23120,756160,0.000141,379.698265,net75.mtx,1489200,
[21:22:51],[21:23:08],1024,986703,986703,36326514,0.016639,14018426.886719,bone010.mtx,71666325,
[21:25:06],[21:25:23],8192,2216688,2216688,2441238,0.002093,885194.194336,netherlands_osm.mtx,4266503,
[21:27:41],[21:28:00],131072,127224,127224,1182804,0.000143,439.870972,boneS01_M.mtx,2238384,
[21:29:54],[21:30:05],32768,127224,127224,3421188,0.000336,459.516937,boneS01.mtx,6715152,
[21:33:26],[21:33:38],512,3542400,3542400,50194096,0.024489,20598519.740234,nlpkkt120.mtx,96845792,
[21:35:26],[21:35:46],4096,914898,914898,9702186,0.004708,3730074.989746,boneS10_M.mtx,18489474,
[21:40:32],[21:40:47],256,8345600,8345600,118931856,0.059829,48865729.378906,nlpkkt160.mtx,229518112,
[21:42:52],[21:43:05],1024,914898,914898,28191660,0.012631,10932751.510742,boneS10.mtx,55468422,
[21:51:34],[21:51:49],128,16240000,16240000,232232816,0.111933,95388851.914062,nlpkkt200.mtx,448225632,
